district,Price,size, sold,target
宝安,51865.56,1176.17,16,90平方米以下
大鹏,20688.88,89.42,1,90平方米以下
福田,51110.63,189.02,4,90平方米以下
全市,47190.91,5077.68,68,90平方米以下
龙岗,32174.29,1528.52,21,90平方米以下
龙华,54791.16,1295.58,15,90平方米以下
南山,83502.18,375.36,6,90平方米以下
坪山,34016.85,89.62,1,90平方米以下
全市,14094.1,10108.75,8,144平方米以上
龙华,77239.71,175.3,1,144平方米以上
龙岗,8931.88,9405.33,4,144平方米以上
宝安,85068.55,528.12,3,144平方米以上
大鹏,34915.15,123.24,1,90~144平方米
宝安,61815.19,2722.84,25,90~144平方米
光明,38176.43,287.06,3,90~144平方米
龙岗,42044.14,1184.36,11,90~144平方米
龙华,54441.18,1243,12,90~144平方米
罗湖,65196.87,283.11,3,90~144平方米
南山,88661.67,453.68,4,90~144平方米
坪山,32583.67,294.41,3,90~144平方米
深汕,13386.98,188.38,2,90~144平方米
全市,54842.6,6780.08,64,90~144平方米
全市,42461.86,4848.98,66,90平方米以下
宝安,52566.74,1582.51,21,90平方米以下
光明,39432.92,604.2,7,90平方米以下
龙岗,30341.23,1314.41,20,90平方米以下
龙华,48523.38,541.66,7,90平方米以下
南山,78238.63,194.25,3,90平方米以下
坪山,31189.34,528.58,7,90平方米以下
深汕,12427,83.37,1,90平方米以下
全市,22109.64,5941.11,9,144平方米以上
龙华,14270.46,4033.63,3,144平方米以上
福田,31577.72,1113.76,4,144平方米以上
宝安,48662.1,793.72,2,144平方米以上
福田,26298.94,91.82,1,90~144平方米
宝安,70983.14,440.36,4,90~144平方米
光明,38961.97,293.24,3,90~144平方米
龙岗,37872.41,585.57,6,90~144平方米
龙华,61100.24,309.21,3,90~144平方米
南山,94050.24,90.76,1,90~144平方米
深汕,11064.37,128.31,1,90~144平方米
全市,49566.86,1939.27,19,90~144平方米
全市,37930.79,1939.04,29,90平方米以下
宝安,47985.14,374.67,5,90平方米以下
福田,37224.77,138.58,3,90平方米以下
光明,38442.3,352.82,4,90平方米以下
